
Date: 09-04-2021 Time: 07:39 AM Employee Id: 2 Logged In To The System
Date: 09-04-2021 Time: 08:53 AM Employee Id: 2 Logged In To The System
Date: 09-04-2021 Time: 09:13 AM Employee Id: 2 Logged In To The System
Date: 09-04-2021 Time: 09:56 AM Employee Id: 2 Logged In To The System
Date: 09-04-2021 Time: 01:47 PM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 03:40 AM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 05:20 AM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 07:14 AM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 08:00 AM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 08:16 AM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 08:51 AM Employee Id: 2 Logged Out From The System
Date: 10-04-2021 Time: 08:51 AM Employee Id: 2 Logged In To The System
Date: 10-04-2021 Time: 02:12 PM Employee Id: 2 Logged Out From The System
Date: 10-04-2021 Time: 02:13 PM Employee Id: 2 Logged In To The System
Date: 13-04-2021 Time: 03:28 AM Employee Id: 2 Logged In To The System
Date: 13-04-2021 Time: 07:24 AM Employee Id: 2 Logged In To The System
Date: 13-04-2021 Time: 03:03 PM Employee Id: 2 Logged In To The System
Date: 13-04-2021 Time: 10:12 PM Employee Id: 1 Logged In To The System
Date: 13-04-2021 Time: 10:12 PM Employee Id: 1 Logged Out From The System
Date: 13-04-2021 Time: 10:13 PM Employee Id: 2 Logged In To The System
Date: 13-04-2021 Time: 10:58 PM Employee Id: 2 Logged In To The System
Date: 13-04-2021 Time: 11:52 PM Employee Id: 2 Logged In To The System
Date: 14-04-2021 Time: 06:10 AM Employee Id: 2 Logged In To The System
Date: 14-04-2021 Time: 12:07 PM Employee Id: 2 Logged In To The System
Date: 16-04-2021 Time: 11:04 AM Employee Id: 2 Logged In To The System
Date: 16-04-2021 Time: 11:08 AM Employee Id: 1 Logged Out From The System
Date: 16-04-2021 Time: 11:08 AM Employee Id: 2 Logged In To The System
Date: 16-04-2021 Time: 03:26 PM Employee Id: 2 Logged In To The System
Date: 16-04-2021 Time: 03:33 PM Employee Id: 1 Logged In To The System
Date: 16-04-2021 Time: 04:39 PM Employee Id: 1 Logged In To The System
Date: 16-04-2021 Time: 06:42 PM Employee Id: 1 Logged In To The System
Date: 16-04-2021 Time: 09:39 PM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 07:00 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 02:29 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 02:29 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 02:36 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 02:41 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 02:46 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 03:14 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 03:18 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 03:19 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 06:28 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 06:28 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 06:28 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 06:29 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 06:29 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 06:29 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 06:30 AM Employee Id: 1 Logged In To The System
Date: 17-04-2021 Time: 07:02 AM Employee Id: 1 Logged Out From The System
Date: 17-04-2021 Time: 02:17 PM Employee Id: 1 Logged In To The System
Date: 19-04-2021 Time: 03:51 AM Employee Id: 1 Logged In To The System
Date: 19-04-2021 Time: 06:22 AM Employee Id: 1 Logged Out From The System
Date: 19-04-2021 Time: 06:26 AM Employee Id: 1 Logged In To The System
Date: 19-04-2021 Time: 06:43 PM Employee Id: 1 Logged In To The System
